id.kinrich	kinase.group	kinase.family	kinase.subfamily	branch.col	node.col	node.radius	text.size
AKT1	AGC	Akt		#228B22	#228B22	13	4.05
AKT2	AGC	Akt		#228B22	#228B22	13	4.05
AKT3	AGC	Akt		#228B22	#228B22	13	4.05
BARK1	AGC	GRK	BARK	#228B22	#228B22	13	4.05
BARK2	AGC	GRK	BARK	#228B22	#228B22	13	4.05
CRIK	AGC	DMPK		#228B22	#228B22	13	4.05
DMPK1	AGC	DMPK	GEK	#228B22	#228B22	13	4.05
DMPK2	AGC	DMPK	GEK	#228B22	#228B22	13	4.05
GPRK4	AGC	GRK	GRK	#228B22	#228B22	13	4.05
GPRK5	AGC	GRK	GRK	#228B22	#228B22	13	4.05
GPRK6	AGC	GRK	GRK	#228B22	#228B22	13	4.05
GPRK7	AGC	GRK	GRK	#228B22	#228B22	13	4.05
LATS1	AGC	NDR		#228B22	#228B22	13	4.05
LATS2	AGC	NDR		#228B22	#228B22	13	4.05
MAST1	AGC	MAST		#228B22	#228B22	13	4.05
MAST2	AGC	MAST		#228B22	#228B22	13	4.05
MAST3	AGC	MAST		#228B22	#228B22	13	4.05
MAST4	AGC	MAST		#228B22	#228B22	13	4.05
MASTL	AGC	MAST		#228B22	#228B22	13	4.05
MRCKa	AGC	DMPK	GEK	#228B22	#228B22	13	4.05
MRCKb	AGC	DMPK	GEK	#228B22	#228B22	13	4.05
MSK1	AGC	RSK	MSK	#228B22	#228B22	13	4.05
MSK2	AGC	RSK	MSK	#228B22	#228B22	13	4.05
NDR1	AGC	NDR		#228B22	#228B22	13	4.05
NDR2	AGC	NDR		#228B22	#228B22	13	4.05
p70S6K	AGC	RSK	RSKp70	#228B22	#228B22	13	4.05
p70S6Kb	AGC	RSK	RSKp70	#228B22	#228B22	13	4.05
PDK1	AGC	PDK1		#228B22	#228B22	13	4.05
PKACa	AGC	PKA		#228B22	#228B22	13	4.05
PKACb	AGC	PKA		#228B22	#228B22	13	4.05
PKACg	AGC	PKA		#228B22	#228B22	13	4.05
PKCa	AGC	PKC	PKCa	#228B22	#228B22	13	4.05
