Label	ID	HGNCÊName	Kinase Name	Group	Family	SubFamily	UniprotID
AAK1	AAK1	AAK1	AP2-associated protein kinase 1	Other	NAK		Q2M2I8
ABL	ABL1	ABL1	Tyrosine-protein kinase ABL1	TK	Abl		P00519
ABR	ABR	ABR	Active breakpoint cluster region-related protein	Atypical	BCR		Q12979
ACK	ACK	TNK2	Activated CDC42 kinase 1	TK	Ack		Q07912
ACTR2	ACTR2	ACVR2A	Activin receptor type-2A	TKL	STKR	STKR2	P27037
ACTR2B	ACTR2B	ACVR2B	Activin receptor type-2B	TKL	STKR	STKR2	Q13705
ADCK1	ADCK1	ADCK1	Uncharacterized aarF domain-containing protein kinase 1	Atypical	ABC1	ABC1-B	Q86TW2
ADCK2	ADCK2	ADCK2	Uncharacterized aarF domain-containing protein kinase 2	Atypical	ABC1	ABC1-C	Q7Z695
ADCK3	ADCK3	ADCK3	Chaperone activity of bc1 complex-like	Atypical	ABC1	ABC1-A	Q8NI60
ADCK4	ADCK4	ADCK4	Uncharacterized aarF domain-containing protein kinase 4	Atypical	ABC1	ABC1-A	Q96D53
ADCK5	ADCK5	ADCK5	Uncharacterized aarF domain-containing protein kinase 5	Atypical	ABC1	ABC1-D	Q3MIX3
AKT1	AKT1	AKT1	RAC-alpha serine/threonine-protein kinase	AGC	Akt		P31749
AKT2	AKT2	AKT2	RAC-beta serine/threonine-protein kinase	AGC	Akt		P31751
AKT3	AKT3	AKT3	RAC-gamma serine/threonine-protein kinase	AGC	Akt		Q9Y243
ALK	ALK	ALK	ALK tyrosine kinase receptor	TK	ALK		Q9UM73
ALK1	ALK1	ACVRL1	Serine/threonine-protein kinase receptor R3	TKL	STKR	STKR1	P37023
ALK2	ALK2	ACVR1	Activin receptor type-1	TKL	STKR	STKR1	Q04771
ALK4	ALK4	ACVR1B	Activin receptor type-1B	TKL	STKR	STKR1	P36896
ALK7	ALK7	ACVR1C	Activin receptor type-1C	TKL	STKR	STKR1	Q8NER5
AlphaK1	AlphaK1	ALPK3	Alpha-protein kinase 3	Atypical	Alpha		Q96L96
AlphaK2	AlphaK2	ALPK2	Alpha-protein kinase 2	Atypical	Alpha		Q86TB3
AlphaK3	AlphaK3	ALPK1	Alpha-protein kinase 1	Atypical	Alpha		Q96QP1
AMPKa1	AMPKa1	PRKAA1	5'-AMP-activated protein kinase catalytic subunit alpha-1	CAMK	CAMKL	AMPK	Q13131
AMPKa2	AMPKa2	PRKAA2	5'-AMP-activated protein kinase catalytic subunit alpha-2	CAMK	CAMKL	AMPK	P54646
ANKRD3	ANKRD3	RIPK4	Receptor-interacting serine/threonine-protein kinase 4	TKL	RIPK		P57078
ANPa	ANPa	NPR1	Atrial natriuretic peptide receptor 1	RGC	RGC		P16066
ANPb	ANPb	NPR2	Atrial natriuretic peptide receptor 2	RGC	RGC		P20594
ARAF	ARAF	ARAF	Serine/threonine-protein kinase A-Raf	TKL	RAF		P10398
ARG	ABL2	ABL2	Abelson tyrosine-protein kinase 2	TK	Abl		P42684
ATM	ATM	ATM	Serine-protein kinase ATM	Atypical	PIKK	ATM	Q13315
ATR	ATR	ATR	Serine/threonine-protein kinase ATR	Atypical	PIKK	ATR	Q13535
AurA	AurA	AURKA	Aurora kinase A	Other	Aur		O14965
AurB	AurB	AURKB	Aurora kinase B	Other	Aur		Q96GD4
AurC	AurC	AURKC	Aurora kinase C	Other	Aur		Q9UQB9
AXL	AXL	AXL	Tyrosine-protein kinase receptor UFO	TK	Axl		P30530
BARK1	BARK1	ADRBK1	Beta-adrenergic receptor kinase 1	AGC	GRK	BARK	P25098
BARK2	BARK2	ADRBK2	Beta-adrenergic receptor kinase 2	AGC	GRK	BARK	P35626
BAZ1A	BAZ1A	BAZ1A	Bromodomain adjacent to zinc finger domain protein 1A	Atypical	BAZ		Q9NRL2
BAZ1B	BAZ1B	BAZ1B	Tyrosine-protein kinase BAZ1B	Atypical	BAZ		Q9UIG0
BCKDK	BCKDK	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase	Atypical	PDHK		O14874
BCR	BCR	BCR	Breakpoint cluster region protein	Atypical	BCR		P11274
BIKE	BIKE	BMP2K	BMP-2-inducible protein kinase	Other	NAK		Q9NSY1
BLK	BLK	BLK	Tyrosine-protein kinase Blk	TK	Src		P51451
BLVRA	BLVRA	BLVRA	Biliverdin reductase A	Atypical	BLVRA		P53004
BMPR1A	BMPR1A	BMPR1A	Bone morphogenetic protein receptor type-1A	TKL	STKR	STKR1	P36894
BMPR1B	BMPR1B	BMPR1B	Bone morphogenetic protein receptor type-1B	TKL	STKR	STKR1	O00238
BMPR2	BMPR2	BMPR2	Bone morphogenetic protein receptor type-2	TKL	STKR	STKR2	Q13873
BMX	BMX	BMX	Cytoplasmic tyrosine-protein kinase BMX	TK	Tec		P51813
BRAF	BRAF	BRAF	Serine/threonine-protein kinase B-raf	TKL	RAF		P15056
BRD2	BRD2	BRD2	Bromodomain-containing protein 2	Atypical	BRD		P25440
BRD3	BRD3	BRD3	Bromodomain-containing protein 3	Atypical	BRD		Q15059
BRD4	BRD4	BRD4	BRD4 protein	Atypical	BRD		O60885
BRDT	BRDT	BRDT	Bromodomain testis-specific protein	Atypical	BRD		Q58F21
BRK	BRK	PTK6	Protein-tyrosine kinase 6	TK	Src		Q13882
BRSK1	BRSK1	BRSK1	Serine/threonine-protein kinase BRSK1	CAMK	CAMKL	BRSK	Q8TDC3
BRSK2	BRSK2	BRSK2	Serine/threonine-protein kinase BRSK2	CAMK	CAMKL	BRSK	Q8IWQ3
BTK	BTK	BTK	Tyrosine-protein kinase BTK	TK	Tec		Q06187
BUB1	BUB1	BUB1	Mitotic checkpoint serine/threonine-protein kinase BUB1	Other	BUB		O43683
BUBR1	BUBR1	BUB1B	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta	Other	BUB		O60566
CaMK1a	CaMK1a	CAMK1	Calcium/calmodulin-dependent protein kinase type 1	CAMK	CAMK1		Q14012
CaMK1b	CaMK1b	PNCK	Calcium/calmodulin-dependent protein kinase type 1B	CAMK	CAMK1		Q6P2M8
CaMK1d	CaMK1d	CAMK1D	Calcium/calmodulin-dependent protein kinase type 1D	CAMK	CAMK1		Q8IU85
CaMK1g	CaMK1g	CAMK1G	Calcium/calmodulin-dependent protein kinase type 1G	CAMK	CAMK1		Q96NX5
CaMK2a	CaMK2a	CAMK2A	Calcium/calmodulin-dependent protein kinase type II subunit alpha	CAMK	CAMK2		Q9UQM7
CaMK2b	CaMK2b	CAMK2B	Calcium/calmodulin-dependent protein kinase type II subunit beta	CAMK	CAMK2		Q13554
CaMK2d	CaMK2d	CAMK2D	Calcium/calmodulin-dependent protein kinase type II subunit delta	CAMK	CAMK2		Q13557
CaMK2g	CaMK2g	CAMK2G	Calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma	CAMK	CAMK2		Q13555
CaMK4	CaMK4	CAMK4	Calcium/calmodulin-dependent protein kinase type IV	CAMK	CAMK1		Q16566
CaMKK1	CaMKK1	CAMKK1	Calcium/calmodulin-dependent protein kinase kinase 1	Other	CAMKK	CAMKK-Meta	Q8N5S9
CaMKK2	CaMKK2	CAMKK2	Calcium/calmodulin-dependent protein kinase kinase 2	Other	CAMKK	CAMKK-Meta	Q96RR4
