Q2M2I8	ENSG00000115977
P00519	ENSG00000097007
P42684	ENSG00000143322
Q07912	ENSG00000061938
P27037	ENSG00000121989
Q13705	ENSG00000114739
P31749	ENSG00000142208
P31751	ENSG00000105221
Q9Y243	ENSG00000117020
Q9Y243	ENSG00000275199
Q9UM73	ENSG00000171094
P37023	ENSG00000139567
Q04771	ENSG00000115170
P36896	ENSG00000135503
Q8NER5	ENSG00000123612
Q13131	ENSG00000132356
P54646	ENSG00000162409
P57078	ENSG00000183421
P16066	ENSG00000169418
P20594	ENSG00000159899
P10398	ENSG00000078061
O14965	ENSG00000087586
Q96GD4	ENSG00000178999
Q9UQB9	ENSG00000105146
P30530	ENSG00000167601
P25098	ENSG00000173020
P35626	ENSG00000100077
Q9NSY1	ENSG00000138756
P51451	ENSG00000136573
P36894	ENSG00000107779
O00238	ENSG00000138696
Q13873	ENSG00000204217
P51813	ENSG00000102010
P15056	ENSG00000157764
Q13882	ENSG00000101213
Q8TDC3	ENSG00000160469
Q8IWQ3	ENSG00000174672
Q06187	ENSG00000010671
O43683	ENSG00000169679
O60566	ENSG00000156970
Q14012	ENSG00000134072
Q6P2M8	ENSG00000130822
Q8IU85	ENSG00000183049
Q96NX5	ENSG00000008118
Q9UQM7	ENSG00000070808
Q13554	ENSG00000058404
Q13557	ENSG00000145349
Q13555	ENSG00000148660
Q16566	ENSG00000152495
Q8N5S9	ENSG00000004660
Q96RR4	ENSG00000110931
Q32MK0	ENSG00000140795
O14936	ENSG00000147044
Q13308	ENSG00000112655
Q8IZL9	ENSG00000156345
P06493	ENSG00000170312
O00311	ENSG00000097046
Q15131	ENSG00000185324
Q9BWU1	ENSG00000155111
P24941	ENSG00000123374
Q00526	ENSG00000250506
P11802	ENSG00000135446
Q00535	ENSG00000164885
Q00534	ENSG00000105810
P50613	ENSG00000134058
P50613	ENSG00000277273
P49336	ENSG00000132964
P50750	ENSG00000136807
Q00532	ENSG00000100490
Q92772	ENSG00000138769
Q8IVW4	ENSG00000006837
Q5MAI5	ENSG00000205111
O76039	ENSG00000008086
Q14004	ENSG00000065883
O14757	ENSG00000149554
O96017	ENSG00000183765
P48729	ENSG00000113712
Q8N752	ENSG00000180138
P48730	ENSG00000141551
P49674	ENSG00000213923
Q9HCP0	ENSG00000169118
P78368	ENSG00000133275
Q9Y6M4	ENSG00000151292
P68400	ENSG00000101266
P19784	ENSG00000070770
Q8TDR2	ENSG00000125834
Q8N165	ENSG00000175087
P49759	ENSG00000013441
P49760	ENSG00000176444
P49760	ENSG00000261893
P49761	ENSG00000179335
Q9HAZ1	ENSG00000113240
P41279	ENSG00000107968
O14578	ENSG00000122966
Q9NYV4	ENSG00000167258
P41240	ENSG00000103653
P42679	ENSG00000007264
Q02846	ENSG00000132518
P51841	ENSG00000101890
P53355	ENSG00000196730
Q9UIK4	ENSG00000035664
O43293	ENSG00000167657
O15075	ENSG00000133083
Q8N568	ENSG00000170390
Q9C098	ENSG00000163673
Q08345	ENSG00000137332
Q08345	ENSG00000204580
Q08345	ENSG00000215522
Q08345	ENSG00000230456
Q08345	ENSG00000234078
Q16832	ENSG00000162733
Q12852	ENSG00000139625
Q09013	ENSG00000104936
Q6DT37	ENSG00000171219
Q9UEE5	ENSG00000164543
O94768	ENSG00000081320
Q13627	ENSG00000157540
Q9Y463	ENSG00000105204
Q9Y463	ENSG00000281320
Q92630	ENSG00000127334
O43781	ENSG00000143479
Q9NR20	ENSG00000010219
P00533	ENSG00000146648
P21709	ENSG00000146904
Q5JZY3	ENSG00000183317
P29317	ENSG00000142627
P29320	ENSG00000044524
P54764	ENSG00000116106
P54756	ENSG00000145242
Q9UF33	ENSG00000080224
Q15375	ENSG00000135333
P29322	ENSG00000070886
P54762	ENSG00000154928
P29323	ENSG00000133216
P54753	ENSG00000182580
P54760	ENSG00000196411
O15197	ENSG00000106123
P04626	ENSG00000141736
P21860	ENSG00000065361
Q15303	ENSG00000178568
P27361	ENSG00000102882
P28482	ENSG00000100030
Q16659	ENSG00000069956
P31152	ENSG00000141639
Q13164	ENSG00000166484
Q8TD08	ENSG00000181085
Q8TD08	ENSG00000274205
Q05397	ENSG00000169398
P16591	ENSG00000151422
P07332	ENSG00000182511
P11362	ENSG00000077782
P21802	ENSG00000066468
P22607	ENSG00000068078
P22455	ENSG00000160867
P09769	ENSG00000000938
P17948	ENSG00000102755
P36888	ENSG00000122025
P35916	ENSG00000037280
P07333	ENSG00000182578
P42685	ENSG00000111816
Q9NRP7	ENSG00000163482
P06241	ENSG00000010810
O14976	ENSG00000178950
Q12851	ENSG00000168067
Q9P2K8	ENSG00000128829
P32298	ENSG00000125388
P34947	ENSG00000198873
P43250	ENSG00000198055
Q8WTQ7	ENSG00000114124
P49840	ENSG00000105723
P49841	ENSG00000082701
Q8TF76	ENSG00000177602
P08631	ENSG00000101336
O95819	ENSG00000071054
Q59H18	ENSG00000116783
Q86Z02	ENSG00000163349
Q9H2X6	ENSG00000064393
Q9H422	ENSG00000110422
Q8NE63	ENSG00000160396
Q92918	ENSG00000104814
Q92918	ENSG00000282928
Q9BQI3	ENSG00000086232
P25092	ENSG00000070019
P57058	ENSG00000142149
Q9UPZ9	ENSG00000112144
P08069	ENSG00000140443
O15111	ENSG00000213341
O14920	ENSG00000104365
Q14164	ENSG00000263528
Q13418	ENSG00000166333
P06213	ENSG00000171105
P51617	ENSG00000184216
O43187	ENSG00000134070
Q9Y616	ENSG00000090376
Q9NWZ3	ENSG00000198001
O75460	ENSG00000178607
Q76MJ5	ENSG00000134398
P14616	ENSG00000027644
Q08881	ENSG00000113263
P23458	ENSG00000162434
O60674	ENSG00000096968
P52333	ENSG00000105639
P45983	ENSG00000107643
P45984	ENSG00000050748
P53779	ENSG00000109339
P35968	ENSG00000128052
Q8IVH8	ENSG00000011566
Q8TAS1	ENSG00000152332
P10721	ENSG00000157404
Q8IVT5	ENSG00000141068
Q6VAB6	ENSG00000171435
O95835	ENSG00000131023
Q9NRM7	ENSG00000150457
P06239	ENSG00000182866
P53667	ENSG00000106683
P53671	ENSG00000182541
Q15831	ENSG00000118046
Q6ZMQ8	ENSG00000181409
Q8IWU2	ENSG00000164715
Q96Q04	ENSG00000142235
O94804	ENSG00000072786
Q38SD2	ENSG00000154237
Q5S007	ENSG00000188906
P29376	ENSG00000062524
P07948	ENSG00000254087
O43283	ENSG00000073803
P20794	ENSG00000111837
Q02750	ENSG00000169032
P36507	ENSG00000126934
P46734	ENSG00000034152
P45985	ENSG00000065559
Q13163	ENSG00000137764
P52564	ENSG00000108984
O14733	ENSG00000076984
Q13233	ENSG00000095015
Q56UN5	ENSG00000176601
Q9Y2U5	ENSG00000169967
Q99759	ENSG00000198909
Q9Y6R4	ENSG00000085511
Q99683	ENSG00000197442
O95382	ENSG00000142733
Q6ZN16	ENSG00000180815
P49137	ENSG00000162889
Q16644	ENSG00000114738
Q8IW41	ENSG00000089022
Q9P0L2	ENSG00000116141
Q7KZI7	ENSG00000072518
P27448	ENSG00000075413
Q96L34	ENSG00000007047
Q9Y2H9	ENSG00000105613
Q6P0Q8	ENSG00000086015
O60307	ENSG00000099308
O15021	ENSG00000069020
Q96GX5	ENSG00000120539
Q14680	ENSG00000165304
Q12866	ENSG00000153208
P08581	ENSG00000105976
Q8N4C8	ENSG00000141503
Q16671	ENSG00000135409
P80192	ENSG00000006432
Q02779	ENSG00000130758
Q16584	ENSG00000173327
Q5TCX8	ENSG00000143674
Q8NB16	ENSG00000168404
Q9BUB5	ENSG00000079277
Q9HBH9	ENSG00000099875
Q9UQ07	ENSG00000080823
P00540	ENSG00000172680
O75716	ENSG00000115661
Q5VT25	ENSG00000143776
Q9Y5S2	ENSG00000198752
O75582	ENSG00000100784
O75676	ENSG00000162302
Q9UPE1	ENSG00000184343
Q13043	ENSG00000101109
Q13188	ENSG00000104375
Q9Y6E0	ENSG00000102572
Q9P289	ENSG00000134602
O15146	ENSG00000030304
Q8NEV4	ENSG00000095777
Q8WXR4	ENSG00000071909
Q99640	ENSG00000127564
Q15208	ENSG00000112079
Q9Y2H1	ENSG00000211455
Q96PY6	ENSG00000137601
Q6ZWH5	ENSG00000163491
Q8NG66	ENSG00000114670
P51955	ENSG00000117650
P51956	ENSG00000136098
P51957	ENSG00000114904
Q6P3R8	ENSG00000197168
Q9HC98	ENSG00000119408
Q8TDX7	ENSG00000151414
Q86SG6	ENSG00000160602
Q8TD19	ENSG00000119638
Q99558	ENSG00000006062
Q8IY84	ENSG00000177453
Q9UBE8	ENSG00000087095
Q9UHY1	ENSG00000115216
Q9NSY0	ENSG00000185189
Q7Z2Y5	ENSG00000123572
O60285	ENSG00000074590
Q9H093	ENSG00000163545
Q5VST9	ENSG00000154358
O95747	ENSG00000172939
Q16539	ENSG00000112062
Q15759	ENSG00000185386
O15264	ENSG00000156711
P53778	ENSG00000188130
P23443	ENSG00000108443
Q9UBS0	ENSG00000175634
Q13153	ENSG00000149269
Q13177	ENSG00000180370
O75914	ENSG00000077264
O96013	ENSG00000130669
Q9P286	ENSG00000101349
Q9NQU5	ENSG00000137843
Q96RG2	ENSG00000115687
Q96KB5	ENSG00000168078
Q00536	ENSG00000102225
Q00537	ENSG00000059758
Q07002	ENSG00000117266
P16234	ENSG00000134853
P09619	ENSG00000113721
O15530	ENSG00000140992
Q9NZJ5	ENSG00000172071
O94921	ENSG00000058091
Q96Q40	ENSG00000138395
Q16816	ENSG00000164776
P15735	ENSG00000156873
Q99570	ENSG00000196455
P11309	ENSG00000137193
Q9P1W9	ENSG00000102096
Q86V86	ENSG00000198355
Q9BXM7	ENSG00000158828
P17612	ENSG00000072062
P22694	ENSG00000142875
P22612	ENSG00000165059
P17252	ENSG00000154229
P05771	ENSG00000166501
Q05655	ENSG00000163932
Q02156	ENSG00000171132
P05129	ENSG00000126583
P24723	ENSG00000027075
P41743	ENSG00000163558
